,datetime,soil moisture (%),value
103,2024-03-05 07:00:00,ground data,10.60265705254436
104,2024-03-05 08:00:00,ground data,10.60265705254436
105,2024-03-05 09:00:00,ground data,10.60605452261439
106,2024-03-05 10:00:00,ground data,10.62218463318154
107,2024-03-05 11:00:00,ground data,10.63321600220373
108,2024-03-05 12:00:00,ground data,10.639153073113961
109,2024-03-05 13:00:00,ground data,10.651022653775692
110,2024-03-05 14:00:00,ground data,10.66373374876595
111,2024-03-05 15:00:00,ground data,10.66542804678753
112,2024-03-05 16:00:00,ground data,10.652717711172818
113,2024-03-05 17:00:00,ground data,10.640849270437412
114,2024-03-05 18:00:00,ground data,10.63576067843682
115,2024-03-05 19:00:00,ground data,10.63067081882199
116,2024-03-05 20:00:00,ground data,10.61539439051801
117,2024-03-05 21:00:00,ground data,10.604355787579376
118,2024-03-05 22:00:00,ground data,10.599258947183426
119,2024-03-05 23:00:00,ground data,10.593311214220552
120,2024-03-06 00:00:00,ground data,10.578860143671532
121,2024-03-06 01:00:00,ground data,10.570355659194618
122,2024-03-06 02:00:00,ground data,10.567803613635682
123,2024-03-06 03:00:00,ground data,10.562698503526947
124,2024-03-06 04:00:00,ground data,10.552485097619497
125,2024-03-06 05:00:00,ground data,10.539711741669164
126,2024-03-06 06:00:00,ground data,10.53204451266857
127,2024-03-06 07:00:00,ground data,10.53119259838561
128,2024-03-06 08:00:00,ground data,10.53119259838561
129,2024-03-06 09:00:00,ground data,10.53119259838561
130,2024-03-06 10:00:00,ground data,10.53460063861168
131,2024-03-06 11:00:00,ground data,10.546523994266819
132,2024-03-06 12:00:00,ground data,10.566102080123148
133,2024-03-06 13:00:00,ground data,10.57205681067267
134,2024-03-06 14:00:00,ground data,10.578860525433461
135,2024-03-06 15:00:00,ground data,10.574608346933049
136,2024-03-06 16:00:00,ground data,10.567803613635682
137,2024-03-06 17:00:00,ground data,10.560145438825764
138,2024-03-06 18:00:00,ground data,10.543118250577812
139,2024-03-06 19:00:00,ground data,10.533748724298475
140,2024-03-06 20:00:00,ground data,10.526931366905707
141,2024-03-06 21:00:00,ground data,10.509879413149312
142,2024-03-06 22:00:00,ground data,10.499642768841815
143,2024-03-06 23:00:00,ground data,10.491961606859453
144,2024-03-07 00:00:00,ground data,10.474029460874954
151,2024-03-01 06:00:00,ascat data,25.84674610160966
152,2024-03-01 07:00:00,ascat data,31.235673415492958
164,2024-03-01 19:00:00,ascat data,27.562763455734405
188,2024-03-02 19:00:00,ascat data,23.76451052631579
199,2024-03-03 06:00:00,ascat data,36.47271031746032
200,2024-03-03 07:00:00,ascat data,30.77613526570048
223,2024-03-04 06:00:00,ascat data,27.673426182092555
224,2024-03-04 07:00:00,ascat data,15.655193033199197
235,2024-03-04 18:00:00,ascat data,29.677477992957748
236,2024-03-04 19:00:00,ascat data,13.462362298792758
271,2024-03-06 06:00:00,ascat data,21.333096076458755
272,2024-03-06 07:00:00,ascat data,16.239831488933604
284,2024-03-06 19:00:00,ascat data,16.960309984909458
